V_(n),V_(n-1),I_(n),V_(n)',V_(n-1)',I_(n)'
-4121316.350767,-4126208.313055,26362.512890,-46.311020,-46.460430,0.692820
-4109783.498932,-4114661.749211,26288.740447,-46.185740,-46.311020,0.690010
-4099591.997616,-4104458.139641,26223.548050,-46.070260,-46.185740,0.687350
-4090076.843811,-4094931.683472,26162.681817,-45.966130,-46.070260,0.684260
-4080771.579604,-4085615.377474,26103.158192,-45.853930,-45.966130,0.680840
-4071455.117742,-4076287.832592,26043.562283,-45.771430,-45.853930,0.678010
-4062218.907637,-4067040.678696,25984.480125,-45.666890,-45.771430,0.675050
-4053685.824573,-4058497.475173,25929.895048,-45.555880,-45.666890,0.672150
-4044832.774720,-4049633.923755,25873.263160,-45.437840,-45.555880,0.667870
-4035654.213152,-4040444.445959,25814.548631,-45.338760,-45.437840,0.662640
-4026645.789882,-4031425.302160,25756.921943,-45.272440,-45.338760,0.657910
-4017630.871668,-4022399.720264,25699.254657,-45.168300,-45.272440,0.653800
-4008784.984250,-4013543.350366,25642.668798,-45.042760,-45.168300,0.651250
-4000048.399921,-4004796.376492,25586.782032,-44.942840,-45.042760,0.648760
-3992102.543659,-3996841.102822,25535.953385,-44.824770,-44.942840,0.644570
-3985385.237642,-3990115.794703,25492.981796,-44.736730,-44.824770,0.639480
-3978273.897444,-3982995.986897,25447.489709,-44.676980,-44.736730,0.633920
-3970805.120682,-3975518.331621,25399.710623,-44.626630,-44.676980,0.630260
-3962841.676203,-3967545.437529,25348.768037,-44.580410,-44.626630,0.626090
-3954537.309009,-3959231.288349,25295.644778,-44.454290,-44.580410,0.620920
-3946420.199575,-3951104.561849,25243.718965,-44.310670,-44.454290,0.614890
-3938199.774452,-3942874.357154,25191.131692,-44.190970,-44.310670,0.609280
-3931098.959728,-3935765.075876,25145.706191,-44.106780,-44.190970,0.603410
-3924567.855541,-3929226.178839,25103.924744,-44.068450,-44.106780,0.597790
-3918750.551309,-3923401.979230,25066.709427,-44.014500,-44.068450,0.592580
-3913088.302094,-3917733.012816,25030.486162,-43.964520,-44.014500,0.588110
-3907160.046787,-3911797.766890,24992.561645,-43.860200,-43.964520,0.584640
-3900788.824706,-3905418.956736,24951.803143,-43.787580,-43.860200,0.579540
-3893978.296821,-3898600.342534,24908.234275,-43.713240,-43.787580,0.572510
-3888279.624532,-3892894.892765,24871.776218,-43.656570,-43.713240,0.565830
-3883022.229218,-3887631.283495,24838.141739,-43.572060,-43.656570,0.559100
-3878388.732917,-3882992.278209,24808.497714,-43.493300,-43.572060,0.554210
-3872750.176018,-3877346.988545,24772.424957,-43.460740,-43.493300,0.548870
-3866783.086367,-3871372.818348,24734.250603,-43.418460,-43.460740,0.542250
-3861110.854565,-3865693.854926,24697.961582,-43.385340,-43.418460,0.535720
-3855652.402853,-3860229.005988,24663.040795,-43.262140,-43.385340,0.529100
-3850645.812965,-3855216.459120,24631.010118,-43.155310,-43.262140,0.522350
